"cl010052644",1600,1700,"Département des Peintures","huile sur bois","peinture","animal/plante/nature morte","portrait/personnage/nu","scène de genre/vie quotidienne/travail","animal (mammifère)","portrait de groupe","jeu","divertissement","jeu","objet/instrument/mobilier/accessoire"
"cl010052654",1600,1700,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010052655",1600,1700,"Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","scène/culte/personnage chrétien","","","","","","",""
"cl010052658",1600,1700,"Département des Peintures","bois","peinture","animal/plante/nature morte","guerre/combat/chasse","animal (mammifère)","","","","","",""
"cl010052661",1600,1700,"Département des Peintures","toile","peinture","portrait/personnage/nu","portrait","personnage masculin","","","","","",""
"cl010052665",1500,1600,"Département des Peintures","huile sur bois (peuplier)","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","scène/culte/personnage chrétien","","","","","",""
"cl010052666",1500,1540,"Département des Peintures","bois","peinture","animal/plante/nature morte","architecture/jardin","paysage, phénomène naturel, élément du cosmos","religion/mythologie/magie/zodiaque","animal (mammifère)","paysage maritime","architecture urbaine (ville)","paysage maritime","paysage de montagne"
"cl010052673",1400,1500,"Département des Peintures","bois","peinture","paysage, phénomène naturel, élément du cosmos","portrait/personnage/nu","paysage (divers)","cavalier","","","","",""
"cl010052674",1400,1500,"Département des Peintures","bois","peinture","animal/plante/nature morte","paysage, phénomène naturel, élément du cosmos","portrait/personnage/nu","animal (mammifère)","paysage (divers)","","cavalier","",""
"cl010052688",1775,1825,"Département des Peintures","toile","peinture","guerre/combat/chasse","portrait/personnage/nu","guerrier/homme armé","personnage masculin","costume/coiffure/couronne/bijou","","","",""
"cl010052692",1772,"","Département des Peintures","toile","peinture","animal/plante/nature morte","portrait/personnage/nu","personnage féminin","nature morte","objet/instrument/mobilier/accessoire","","","",""
"cl010052695",1700,1800,"Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","scène/culte/personnage biblique","","","","","",""
"cl010052698",1700,1800,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052702",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052712",1736,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052768",1827,"","Département des Peintures","toile","peinture","scène historique","scène histoire ancienne","","","","","","",""
"cl010052777",1700,1800,"Département des Peintures","toile","peinture","guerre/combat/chasse","portrait/personnage/nu","bataille","cavalier","","","","",""
"cl010052837",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052859",1840,1841,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052922",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052927",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010052945",1726,"","Département des Peintures","toile","peinture","animal/plante/nature morte","animal (mammifère)","animal (oiseau)","","","","","",""
"cl010052948",1726,"","Département des Peintures","toile","peinture","animal/plante/nature morte","animal (mammifère)","","","","","","",""
"cl010052952",1824,"","Département des Peintures","toile","peinture","scène de genre/vie quotidienne/travail","scène de genre","","","","","","",""
"cl010052975",1743,"","Département des Peintures","toile","peinture","animal/plante/nature morte","architecture/jardin","portrait/personnage/nu","scène de genre/vie quotidienne/travail","animal (mammifère)","personnage masculin","personnage féminin","personnage masculin","scène de genre"
"cl010053001",1857,"","Département des Peintures","bois","peinture","","","","","","","","",""
"cl010053003",1850,1852,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053009",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053017",1560,1600,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010053021",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053050",1864,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053058",1663,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053068",1700,1800,"Département des Peintures","toile","peinture","portrait/personnage/nu","personnage masculin","","","","","","",""
"cl010053081",1715,"","Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010053089",1636,1638,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053090",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053091",1841,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053092",1644,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053101",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010053113",1651,1652,"Département des Peintures","toile","peinture","","","","","","","","",""
